Iteration,bra-left,bra-right,Element,Operator
50,1,1,1.0,0
50,1,2,-3.7141e-05,0
50,1,3,-8.29e-07,0
50,1,4,-4.805e-06,0
50,1,5,5.03e-07,0
50,1,6,-6.071e-06,0
50,1,7,1.599e-06,0
50,1,8,-1.385e-06,0
50,1,9,4.98e-07,0
50,1,10,2.107e-06,0
50,1,11,-4.02e-07,0
50,1,12,7.44e-07,0
50,1,13,5.94e-07,0
50,1,14,-1.2409e-05,0
50,1,15,-4.798e-06,0
50,1,16,-8.402e-06,0
50,1,17,-7.66e-07,0
50,1,18,-7.183e-06,0
50,1,19,3.41e-07,0
50,1,20,2.19e-05,0
50,1,21,-1.308e-06,0
50,1,22,6.661e-06,0
50,1,23,-2.028e-06,0
50,1,24,4.954e-06,0
50,1,25,-9.89e-07,0
50,1,26,6.55e-07,0
50,1,27,-2.45e-07,0
50,1,28,2.66e-05,0
50,1,29,6.514e-06,0
50,1,30,3.0045e-05,0
50,1,31,6.22e-06,0
50,1,32,2.6794e-05,0
50,1,33,2.92e-07,0
50,1,34,-3.589e-06,0
50,1,35,-6.851e-06,0
50,1,36,-5.2276e-05,0
50,1,37,1.179e-06,0
50,1,38,2.2736e-05,0
50,1,39,-1.898e-06,0
50,1,40,1.4087e-05,0
50,1,41,-6.456e-06,0
50,1,42,-5.3977e-05,0
50,1,43,-2.198e-06,0
50,1,44,-6.8969e-05,0
50,1,45,4.414e-06,0
50,1,46,2.1816e-05,0
50,1,47,-6.492e-06,0
50,1,48,-1.0408e-05,0
50,2,1,-3.7141e-05,0
50,2,2,1.0,0
50,2,3,-1.1662e-05,0
50,2,4,-0.015023814,0
50,2,5,9.584e-06,0
50,2,6,0.134836616,0
50,2,7,-1.949e-05,0
50,2,8,0.110130825,0
50,2,9,-1.7356e-05,0
50,2,10,-0.015870965,0
50,2,11,-9.117e-06,0
50,2,12,0.036280437,0
50,2,13,2.5417e-05,0
50,2,14,-0.031169049,0
50,2,15,-1.665e-05,0
50,2,16,-0.099182349,0
