Iteration,bra-left,bra-right,Element,Operator
46,1,1,1.0,0
46,1,1,0.710872515,1
46,1,1,0.355392419,2
46,1,1,0.288055688,3
46,1,1,0.287980451,4
46,1,1,0.288066661,5
46,1,1,0.843231999,6
46,1,1,0.421681319,7
46,1,1,-0.130376559,8
46,1,1,0.057586465,9
46,1,1,-0.163884128,10
46,3,1,-1.1316e-05,0
46,3,1,0.001894824,1
46,3,1,0.000926137,2
46,3,1,0.000380293,3
46,3,1,0.000361819,4
46,3,1,0.000414453,5
46,3,1,-0.002657717,6
46,3,1,-0.001347772,7
46,3,1,0.003687602,8
46,3,1,0.013377977,9
46,3,1,0.008758438,10
46,5,1,-1.0349e-05,0
46,5,1,0.000115514,1
46,5,1,0.000182041,2
46,5,1,9.9176e-05,3
46,5,1,0.000117587,4
46,5,1,0.00015484,5
46,5,1,-0.000370652,6
46,5,1,-0.000334444,7
46,5,1,-0.000636463,8
46,5,1,-0.00441484,9
46,5,1,-0.021695148,10
46,7,1,2.2542e-05,0
46,7,1,0.000601921,1
46,7,1,0.000200228,2
46,7,1,0.00012888,3
46,7,1,0.000204792,4
46,7,1,8.465e-05,5
46,7,1,-0.000819448,6
46,7,1,-0.000334107,7
46,7,1,0.0428557,8
46,7,1,0.023205256,9
46,7,1,-0.003608694,10
46,9,1,5.687e-06,0
46,9,1,-0.003660407,1
46,9,1,-0.001859375,2
46,9,1,-0.000981445,3
46,9,1,-0.000814253,4
46,9,1,-0.001039781,5
46,9,1,0.00581159,6
46,9,1,0.002568871,7
46,9,1,-0.044520546,8
46,9,1,0.003329699,9
46,9,1,-0.140325053,10
46,11,1,-4.6334e-05,0
46,11,1,-0.000994199,1
46,11,1,-0.000567841,2
46,11,1,-0.000270685,3
46,11,1,-0.000271173,4
46,11,1,-0.000291611,5
46,11,1,0.001248604,6
46,11,1,0.001018681,7
46,11,1,-0.121652937,8
46,11,1,-0.000439303,9
46,11,1,-0.056153494,10
46,13,1,1.0902e-05,0
46,13,1,0.001200698,1
46,13,1,-0.001134291,2
46,13,1,0.000382139,3
46,13,1,8.6071e-05,4
46,13,1,0.00026347,5
46,13,1,-0.001553641,6
46,13,1,0.000830235,7
46,13,1,0.007496359,8
46,13,1,-0.007741857,9
46,13,1,-0.001738982,10
46,15,1,9.17e-07,0
46,15,1,2.4387e-05,1
46,15,1,3.9542e-05,2
46,15,1,1.1747e-05,3
46,15,1,9.611e-06,4
46,15,1,1.581e-06,5
46,15,1,-2.8388e-05,6
46,15,1,-4.1077e-05,7
46,15,1,0.002155927,8
46,15,1,0.000195336,9
46,15,1,0.000308054,10
46,1,3,-1.1316e-05,0
46,1,3,0.001894824,1
46,1,3,0.000926137,2
46,1,3,0.000380293,3
46,1,3,0.000361819,4
46,1,3,0.000414453,5
46,1,3,-0.002657717,6
46,1,3,-0.001347772,7
46,1,3,0.003687602,8
46,1,3,0.013377977,9
46,1,3,0.008758438,10
46,3,3,1.0,0
46,3,3,0.769845747,1
46,3,3,0.384962481,2
46,3,3,0.295741621,3
46,3,3,0.295891659,4
46,3,3,0.295819406,5
46,3,3,0.793891025,6
46,3,3,0.396910116,7
46,3,3,0.021099646,8
46,3,3,0.147973918,9
46,3,3,-0.195840161,10
46,5,3,1.9135e-05,0
46,5,3,0.005854571,1
46,5,3,0.002992111,2
46,5,3,0.002405108,3
46,5,3,0.002395345,4
46,5,3,0.00241372,5
46,5,3,-0.010735028,6
46,5,3,-0.005279544,7
46,5,3,-0.007560879,8
46,5,3,-0.140172586,9
46,5,3,-0.262055836,10
46,7,3,-5.305e-06,0
46,7,3,0.00335274,1
46,7,3,0.00189119,2
46,7,3,0.002420399,3
46,7,3,0.002422685,4
46,7,3,0.002434821,5
46,7,3,-0.008413378,6
46,7,3,-0.004107945,7
46,7,3,0.455609237,8
46,7,3,0.338439094,9
46,7,3,-0.014058315,10
46,9,3,1.4769e-05,0
46,9,3,-0.038172152,1
46,9,3,-0.01914676,2
46,9,3,-0.009926723,3
46,9,3,-0.009880279,4
46,9,3,-0.009804498,5
46,9,3,0.05805326,6
46,9,3,0.028917937,7
46,9,3,-0.466457192,8
46,9,3,0.041471661,9
46,9,3,-1.507204338,10
46,11,3,3.8071e-05,0
46,11,3,0.009549815,1
46,11,3,0.005012535,2
46,11,3,0.001040201,3
46,11,3,0.000990847,4
46,11,3,0.001118236,5
46,11,3,-0.01168421,6
46,11,3,-0.005881301,7
46,11,3,-1.309529326,8
46,11,3,-0.003468977,9
46,11,3,0.634914024,10
46,13,3,3.508e-05,0
46,13,3,-0.002049127,1
46,13,3,-0.001072946,2
46,13,3,-0.000481858,3
46,13,3,-0.0003974,4
46,13,3,-0.000421631,5
46,13,3,0.003321474,6
46,13,3,0.001223361,7
46,13,3,-0.065295344,8
46,13,3,-0.117003914,9
46,13,3,-0.033110281,10
46,15,3,-0.000131252,0
46,15,3,0.000466201,1
46,15,3,0.000175988,2
46,15,3,-2.709e-05,3
46,15,3,-3.8098e-05,4
46,15,3,-2.6137e-05,5
46,15,3,-0.000736955,6
46,15,3,-0.00038167,7
46,15,3,0.02998894,8
46,15,3,0.002903643,9
46,15,3,0.004824295,10
46,1,5,-1.0349e-05,0
46,1,5,0.000115514,1
46,1,5,0.000182041,2
46,1,5,9.9176e-05,3
46,1,5,0.000117587,4
46,1,5,0.00015484,5
46,1,5,-0.000370652,6
46,1,5,-0.000334444,7
46,1,5,-0.000636463,8
46,1,5,-0.00441484,9
46,1,5,-0.021695148,10
46,3,5,1.9135e-05,0
46,3,5,0.005854571,1
46,3,5,0.002992111,2
46,3,5,0.002405108,3
46,3,5,0.002395345,4
46,3,5,0.00241372,5
46,3,5,-0.010735028,6
46,3,5,-0.005279544,7
46,3,5,-0.007560879,8
46,3,5,-0.140172586,9
46,3,5,-0.262055836,10
46,5,5,1.0,0
46,5,5,0.797991764,1
46,5,5,0.398922744,2
46,5,5,0.301882257,3
46,5,5,0.301967847,4
46,5,5,0.301929224,5
46,5,5,0.772882264,6
46,5,5,0.386560179,7
46,5,5,-0.146766954,8
46,5,5,-0.149582106,9
46,5,5,0.043143217,10
46,7,5,-4.9547e-05,0
46,7,5,0.000702165,1
46,7,5,9.2696e-05,2
46,7,5,0.000273229,3
46,7,5,0.000278992,4
46,7,5,0.00030299,5
46,7,5,-0.001053524,6
46,7,5,-0.000782039,7
46,7,5,-0.003400113,8
46,7,5,0.002992549,9
46,7,5,-0.04845724,10
46,9,5,-1.5013e-05,0
46,9,5,-0.003563062,1
46,9,5,-0.001523353,2
46,9,5,0.001026001,3
46,9,5,0.001120709,4
46,9,5,0.001067604,5
46,9,5,0.001240868,6
46,9,5,0.000614492,7
46,9,5,-0.044319951,8
46,9,5,0.004193256,9
46,9,5,-0.021893013,10
46,11,5,4.6618e-05,0
46,11,5,0.000550517,1
46,11,5,0.000289866,2
46,11,5,-0.000425742,3
46,11,5,-0.000554657,4
46,11,5,-0.00042387,5
46,11,5,0.000368317,6
46,11,5,0.000278224,7
46,11,5,-0.20021115,8
46,11,5,-0.005733825,9
46,11,5,0.090260338,10
46,13,5,1.4126e-05,0
46,13,5,0.000430041,1
46,13,5,0.000506386,2
46,13,5,0.000344309,3
46,13,5,0.000339647,4
46,13,5,0.000323697,5
46,13,5,-0.001234171,6
46,13,5,-0.000605162,7
46,13,5,0.078636171,8
46,13,5,-0.004061982,9
46,13,5,-0.015652501,10
46,15,5,-9.267e-06,0
46,15,5,-0.00044501,1
46,15,5,-0.000193717,2
46,15,5,0.000103407,3
46,15,5,8.0928e-05,4
46,15,5,6.0385e-05,5
46,15,5,0.000142561,6
46,15,5,0.000189177,7
46,15,5,-0.008973424,8
46,15,5,6.146e-06,9
46,15,5,0.001612848,10
46,1,7,2.2542e-05,0
46,1,7,0.000601921,1
46,1,7,0.000200228,2
46,1,7,0.00012888,3
46,1,7,0.000204792,4
46,1,7,8.465e-05,5
46,1,7,-0.000819448,6
46,1,7,-0.000334107,7
46,1,7,0.0428557,8
46,1,7,0.023205256,9
46,1,7,-0.003608694,10
46,3,7,-5.305e-06,0
46,3,7,0.00335274,1
46,3,7,0.00189119,2
46,3,7,0.002420399,3
46,3,7,0.002422685,4
46,3,7,0.002434821,5
46,3,7,-0.008413378,6
46,3,7,-0.004107945,7
46,3,7,0.455609237,8
46,3,7,0.338439094,9
46,3,7,-0.014058315,10
46,5,7,-4.9547e-05,0
46,5,7,0.000702165,1
46,5,7,9.2696e-05,2
46,5,7,0.000273229,3
46,5,7,0.000278992,4
46,5,7,0.00030299,5
46,5,7,-0.001053524,6
46,5,7,-0.000782039,7
46,5,7,-0.003400113,8
46,5,7,0.002992549,9
46,5,7,-0.04845724,10
46,7,7,1.0,0
46,7,7,0.922406948,1
46,7,7,0.461386704,2
46,7,7,0.284952499,3
46,7,7,0.284833735,4
46,7,7,0.28489532,5
46,7,7,0.877799378,6
46,7,7,0.438738332,7
46,7,7,-0.139160191,8
46,7,7,-0.649378299,9
46,7,7,-0.121418114,10
46,9,7,6.2578e-05,0
46,9,7,0.012211812,1
46,9,7,0.005603438,2
46,9,7,0.000388411,3
46,9,7,0.000484126,4
46,9,7,0.000526903,5
46,9,7,-0.012525182,6
46,9,7,-0.006496405,7
46,9,7,-0.009661861,8
46,9,7,0.005976014,9
46,9,7,0.317447148,10
46,11,7,4.4615e-05,0
46,11,7,0.009145664,1
46,11,7,0.004509973,2
46,11,7,-0.002757267,3
46,11,7,-0.00268328,4
46,11,7,-0.002720995,5
46,11,7,-0.003247619,6
46,11,7,-0.00210124,7
46,11,7,-0.102359729,8
46,11,7,0.095256055,9
46,11,7,-0.008440676,10
46,13,7,5.376e-06,0
46,13,7,-0.028086247,1
46,13,7,-0.013174144,2
46,13,7,-0.004602709,3
46,13,7,-0.004652676,4
46,13,7,-0.004544795,5
46,13,7,0.036378557,6
46,13,7,0.018649194,7
46,13,7,-0.225902801,8
46,13,7,0.091981706,9
46,13,7,-0.242529473,10
46,15,7,-0.000119935,0
