Iteration,bra-left,bra-right,Element,Operator
50,1,1,1.0,0
50,1,1,0.705190477,1
50,1,1,0.352552629,2
50,1,1,0.287053919,3
50,1,1,0.286988619,4
50,1,1,0.287067658,5
50,1,1,0.849362991,6
50,1,1,0.424739308,7
50,1,1,-0.124971096,8
50,1,1,0.055527728,9
50,1,1,-0.156806705,10
50,3,1,-2.8191e-05,0
50,3,1,-0.001722411,1
50,3,1,-0.000819165,2
50,3,1,-0.000345201,3
50,3,1,-0.000313437,4
50,3,1,-0.000366726,5
50,3,1,0.002320317,6
50,3,1,0.001156815,7
50,3,1,-0.004398525,8
50,3,1,-0.012822274,9
50,3,1,-0.008247496,10
50,5,1,-1.0776e-05,0
50,5,1,-9.646e-05,1
50,5,1,-0.000155323,2
50,5,1,-7.97e-05,3
50,5,1,-8.3584e-05,4
50,5,1,-0.000132858,5
50,5,1,0.000271196,6
50,5,1,0.000232118,7
50,5,1,0.001036298,8
50,5,1,0.00464137,9
50,5,1,0.020790309,10
50,7,1,0.000118339,0
50,7,1,-0.000374468,1
50,7,1,-0.00012188,2
50,7,1,-4.1528e-05,3
50,7,1,-0.000124456,4
50,7,1,-7.0283e-05,5
50,7,1,0.000759518,6
50,7,1,0.000350781,7
50,7,1,-0.039496614,8
50,7,1,-0.023142569,9
50,7,1,0.004479672,10
50,9,1,-0.000342602,0
50,9,1,0.003177339,1
50,9,1,0.001672011,2
50,9,1,0.000759343,3
50,9,1,0.00064156,4
50,9,1,0.000836244,5
50,9,1,-0.00565049,6
50,9,1,-0.002549483,7
50,9,1,0.046106726,8
50,9,1,-0.003134902,9
50,9,1,0.140173484,10
50,11,1,6.8177e-05,0
50,11,1,0.000948351,1
50,11,1,0.000555344,2
50,11,1,0.000265977,3
50,11,1,0.000271286,4
50,11,1,0.000282498,5
50,11,1,-0.001150858,6
50,11,1,-0.000966052,7
50,11,1,0.123926327,8
50,11,1,0.000820042,9
50,11,1,0.05637179,10
50,13,1,-1.5137e-05,0
50,13,1,0.001221271,1
50,13,1,-0.001138363,2
50,13,1,0.00043289,3
50,13,1,8.0244e-05,4
50,13,1,0.000238287,5
50,13,1,-0.001682754,6
50,13,1,0.000842221,7
50,13,1,0.006548886,8
50,13,1,-0.008423909,9
50,13,1,-0.001730096,10
50,15,1,-1.386e-05,0
50,15,1,-5.7693e-05,1
50,15,1,-3.8011e-05,2
50,15,1,-1.8664e-05,3
50,15,1,-1.3857e-05,4
50,15,1,-8.182e-06,5
50,15,1,3.1005e-05,6
50,15,1,3.9477e-05,7
50,15,1,-0.002037677,8
50,15,1,-0.000264005,9
50,15,1,-0.000534271,10
50,1,3,-2.8191e-05,0
50,1,3,-0.001722411,1
50,1,3,-0.000819165,2
50,1,3,-0.000345201,3
50,1,3,-0.000313437,4
50,1,3,-0.000366726,5
50,1,3,0.002320317,6
50,1,3,0.001156815,7
50,1,3,-0.004398525,8
50,1,3,-0.012822274,9
50,1,3,-0.008247496,10
50,3,3,1.0,0
50,3,3,0.754842359,1
50,3,3,0.377476324,2
50,3,3,0.293540816,3
