Iteration,bra-left,bra-right,Element,Operator
51,1,1,1.0,0
51,1,1,0.550354628,1
51,1,1,0.259802376,2
51,1,1,0.30520892,3
51,1,1,0.339096818,4
51,1,1,0.29884318,5
51,1,1,0.838709037,6
51,1,1,0.400693766,7
51,1,1,-0.017870631,8
51,1,1,-0.020254405,9
51,1,1,-0.035395671,10
51,3,1,-2.1983e-05,0
51,3,1,-0.004004399,1
51,3,1,-0.003803415,2
51,3,1,-5.5669e-05,3
51,3,1,0.027996896,4
51,3,1,-0.032863313,5
51,3,1,0.005095192,6
51,3,1,0.007576336,7
51,3,1,-0.008366422,8
51,3,1,-0.004059603,9
51,3,1,0.056355008,10
51,5,1,1.9205e-05,0
51,5,1,-0.039213101,1
51,5,1,0.037242615,2
51,5,1,0.032369929,3
51,5,1,-0.015565536,4
51,5,1,-0.020177085,5
51,5,1,-0.041707542,6
51,5,1,0.047105511,7
51,5,1,0.079352549,8
51,5,1,0.066393466,9
51,5,1,-0.091421254,10
51,7,1,-1.6106e-05,0
51,7,1,-0.009896067,1
51,7,1,0.006158785,2
51,7,1,0.006122859,3
51,7,1,-0.007367716,4
51,7,1,-0.009304487,5
51,7,1,-0.001754752,6
51,7,1,0.01597005,7
51,7,1,0.06461209,8
51,7,1,0.023716235,9
51,7,1,-0.078456306,10
51,9,1,-6.64e-06,0
51,9,1,0.003960027,1
51,9,1,-0.005952158,2
51,9,1,0.002116376,3
51,9,1,0.002119979,4
51,9,1,-0.00256849,5
51,9,1,-0.007975246,6
51,9,1,0.008261189,7
51,9,1,0.038448513,8
51,9,1,0.004289899,9
51,9,1,0.09595127,10
51,11,1,-3.4665e-05,0
51,11,1,-0.000591918,1
51,11,1,-0.00186828,2
51,11,1,-0.002516562,3
51,11,1,0.002276768,4
51,11,1,0.004720913,5
51,11,1,0.005437538,6
51,11,1,-0.007564891,7
51,11,1,-0.008365008,8
51,11,1,0.051739145,9
51,11,1,0.011377064,10
51,13,1,-3.5116e-05,0
51,13,1,-0.001127263,1
51,13,1,0.000900107,2
51,13,1,0.002564165,3
51,13,1,0.001137486,4
51,13,1,-0.001854805,5
51,13,1,-0.000814768,6
51,13,1,-0.000919792,7
51,13,1,-0.072908762,8
51,13,1,0.085266383,9
51,13,1,0.084661979,10
51,15,1,-4.2956e-05,0
51,15,1,0.003655189,1
51,15,1,-0.006117754,2
51,15,1,-0.000600704,3
51,15,1,0.00507399,4
51,15,1,0.002870708,5
51,15,1,0.001130594,6
51,15,1,-0.006107568,7
51,15,1,-0.244101914,8
51,15,1,0.08059596,9
51,15,1,0.338532294,10
51,17,1,2.8038e-05,0
51,17,1,0.019687051,1
51,17,1,0.011129314,2
51,17,1,-0.001921271,3
51,17,1,0.015297923,4
51,17,1,0.015334067,5
51,17,1,-0.015192012,6
51,17,1,-0.044182177,7
51,17,1,0.007974864,8
51,17,1,0.420630233,9
51,17,1,0.049803662,10
51,19,1,9.152e-06,0
51,19,1,0.008904102,1
51,19,1,0.015822066,2
