Iteration,bra-left,bra-right,Element,Operator
57,1,1,1.0,0
57,1,1,0.550111359,1
57,1,1,0.257350883,2
57,1,1,0.302766117,3
57,1,1,0.337342997,4
57,1,1,0.300132897,5
57,1,1,0.843779624,6
57,1,1,0.399707439,7
57,1,1,-0.017651389,8
57,1,1,-0.020334884,9
57,1,1,-0.028833202,10
57,3,1,3.613e-06,0
57,3,1,0.001190765,1
57,3,1,0.006058748,2
57,3,1,0.002596505,3
57,3,1,-0.029423774,4
57,3,1,0.031139124,5
57,3,1,-0.007923265,6
57,3,1,-0.00363544,7
57,3,1,0.015234814,8
57,3,1,0.015588118,9
57,3,1,-0.055278005,10
57,5,1,-4.514e-06,0
57,5,1,-0.039424806,1
57,5,1,0.03633791,2
57,5,1,0.032152811,3
57,5,1,-0.013122842,4
57,5,1,-0.022188062,5
57,5,1,-0.041813692,6
57,5,1,0.048041638,7
57,5,1,0.067688905,8
57,5,1,0.062732552,9
57,5,1,-0.068681626,10
57,7,1,1.0047e-05,0
57,7,1,-0.013553724,1
57,7,1,0.007435525,2
57,7,1,0.00844352,3
57,7,1,-0.006832816,4
57,7,1,-0.01464489,5
57,7,1,-0.005832025,6
57,7,1,0.025012787,7
57,7,1,0.036368136,8
57,7,1,0.041901746,9
57,7,1,-0.105033104,10
57,9,1,-1.1423e-05,0
57,9,1,0.002682056,1
57,9,1,-0.006574722,2
57,9,1,0.001765793,3
57,9,1,0.001450281,4
57,9,1,-0.001454958,5
57,9,1,-0.005875579,6
57,9,1,0.007969814,7
57,9,1,0.038224756,8
57,9,1,-0.014019047,9
57,9,1,0.095081487,10
57,11,1,4.262e-06,0
57,11,1,0.002494404,1
57,11,1,0.002532676,2
57,11,1,0.002460826,3
57,11,1,-0.000819192,4
57,11,1,-0.004731646,5
57,11,1,-0.007514927,6
57,11,1,0.005590211,7
57,11,1,0.010089176,8
57,11,1,-0.011823226,9
57,11,1,-0.004530715,10
57,13,1,8.134e-06,0
57,13,1,0.000517742,1
57,13,1,-0.001914843,2
57,13,1,-0.001653588,3
57,13,1,-0.001603574,4
57,13,1,0.001410249,5
57,13,1,0.000511777,6
57,13,1,0.002760498,7
57,13,1,0.059260857,8
57,13,1,-0.08961526,9
57,13,1,-0.066759374,10
57,15,1,-9.38e-07,0
57,15,1,0.017910908,1
57,15,1,0.006979464,2
57,15,1,-0.004373814,3
57,15,1,0.008587063,4
57,15,1,0.017511409,5
57,15,1,-0.004314853,6
57,15,1,-0.042299119,7
57,15,1,0.07393664,8
57,15,1,0.251633205,9
57,15,1,0.084893988,10
57,17,1,-2.92e-06,0
57,17,1,-0.007156333,1
57,17,1,-0.014369412,2
57,17,1,1.4151e-05,3
57,17,1,-0.004106519,4
57,17,1,0.006998368,5
57,17,1,0.013775502,6
57,17,1,0.004833324,7
57,17,1,0.155541541,8
57,17,1,-0.351790453,9
57,17,1,0.076355086,10
57,19,1,-4.379e-06,0
57,19,1,-0.001385306,1
57,19,1,0.001526847,2
57,19,1,0.00061045,3
57,19,1,-0.000792225,4
57,19,1,-0.000255215,5
57,19,1,-0.000869426,6
57,19,1,0.001149184,7
57,19,1,0.513776713,8
57,19,1,0.027501584,9
57,19,1,0.222728379,10
57,21,1,1.784e-05,0
57,21,1,-0.027333047,1
57,21,1,-0.004476867,2
57,21,1,-0.013964272,3
57,21,1,-0.018853994,4
57,21,1,-0.018571814,5
57,21,1,0.055390406,6
57,21,1,0.027856259,7
57,21,1,-0.464165123,8
57,21,1,0.076160406,9
57,21,1,0.588354695,10
57,23,1,2.1122e-05,0
57,23,1,-0.021613488,1
57,23,1,0.005619927,2
57,23,1,-0.006923019,3
57,23,1,-0.018326703,4
57,23,1,0.000432534,5
57,23,1,0.043673988,6
57,23,1,-0.00278527,7
57,23,1,-0.023895134,8
57,23,1,-0.240790272,9
57,23,1,0.747936985,10
57,25,1,-1.5092e-05,0
57,25,1,0.037080269,1
57,25,1,0.006886973,2
57,25,1,0.014230901,3
57,25,1,0.000723265,4
57,25,1,0.004893361,5
57,25,1,-0.058200633,6
57,25,1,-0.005659311,7
57,25,1,-0.059678363,8
57,25,1,0.177090202,9
57,25,1,-0.363351869,10
57,27,1,8.26e-07,0
57,27,1,0.027556292,1
57,27,1,0.017252777,2
57,27,1,0.007241797,3
57,27,1,-0.017777264,4
57,27,1,0.01189816,5
57,27,1,-0.039346206,6
57,27,1,-0.006840489,7
57,27,1,-0.259648417,8
57,27,1,-0.198221961,9
57,27,1,-0.216059949,10
57,29,1,-1.1324e-05,0
57,29,1,0.009748223,1
57,29,1,0.010715252,2
57,29,1,0.000335438,3
57,29,1,0.004619253,4
57,29,1,0.008742744,5
57,29,1,-0.013682754,6
57,29,1,-0.020519729,7
57,29,1,0.18006923,8
57,29,1,0.100954142,9
57,29,1,-0.069355126,10
57,31,1,1.1714e-05,0
57,31,1,0.083256172,1
57,31,1,0.0310259,2
57,31,1,0.018678603,3
57,31,1,0.004364136,4
57,31,1,0.021214616,5
57,31,1,-0.114706349,6
57,31,1,-0.043796789,7
57,31,1,0.087626226,8
57,31,1,0.087178842,9
57,31,1,-0.168794266,10
57,33,1,1.3081e-05,0
57,33,1,0.002940873,1
57,33,1,0.017952892,2
57,33,1,0.002158927,3
57,33,1,0.005130531,4
57,33,1,-0.005773023,5
57,33,1,-0.001704807,6
57,33,1,-0.020677265,7
57,33,1,0.07569571,8
57,33,1,-9.5376e-05,9
57,33,1,-0.038383263,10
57,35,1,-2.9459e-05,0
57,35,1,-0.011684809,1
57,35,1,-0.011059986,2
57,35,1,0.000999219,3
57,35,1,0.015857185,4
57,35,1,0.005101086,5
57,35,1,0.00546624,6
57,35,1,-0.004745592,7
57,35,1,0.043106588,8
57,35,1,0.407428922,9
57,35,1,-0.133490991,10
57,37,1,-4.0885e-05,0
57,37,1,0.03069332,1
57,37,1,0.02799834,2
57,37,1,0.021926838,3
57,37,1,0.010674411,4
57,37,1,0.006762503,5
57,37,1,-0.063325031,6
57,37,1,-0.034855677,7
57,37,1,0.132143375,8
57,37,1,0.233402928,9
57,37,1,0.127381732,10
57,1,3,3.613e-06,0
57,1,3,0.001190765,1
57,1,3,0.006058748,2
57,1,3,0.002596505,3
57,1,3,-0.029423774,4
57,1,3,0.031139124,5
57,1,3,-0.007923265,6
57,1,3,-0.00363544,7
57,1,3,0.015234814,8
57,1,3,0.015588118,9
57,1,3,-0.055278005,10
57,3,3,1.0,0
57,3,3,0.587734434,1
57,3,3,0.254181451,2
57,3,3,0.297155295,3
57,3,3,0.311678322,4
57,3,3,0.345658147,5
57,3,3,0.829382779,6
57,3,3,0.371706386,7
57,3,3,0.022318776,8
57,3,3,0.094518474,9
57,3,3,-0.173569362,10
57,5,3,2.037e-06,0
57,5,3,-0.009435031,1
57,5,3,0.003798449,2
57,5,3,0.003522175,3
57,5,3,-0.010365341,4
57,5,3,0.00153514,5
57,5,3,0.001075193,6
57,5,3,0.009887571,7
57,5,3,-0.025237227,8
57,5,3,0.021460933,9
57,5,3,0.099467935,10
57,7,3,3.38e-06,0
57,7,3,0.010692369,1
57,7,3,-0.006868613,2
57,7,3,-0.009331232,3
57,7,3,0.006777248,4
57,7,3,0.007866001,5
57,7,3,0.009600733,6
